,Address,Day,Details,Amount,Balance
0,37 3rd Street Deposit,1,Deposit,-374.3605,98394.95
1,37 3rd Street Rent,1,Rent,-9.478683,98385.47
2,UMC Desert,1,VehicleBought,-6000.0,92385.47
3,Purchase from Mr. Scott's Office Supplies,1,ItemPurchase,-4800.0,87585.47
4,Purchase from Mr. Scott's Office Supplies,1,ItemPurchase,-3600.0,83985.47
5,Purchase from Mr. Scott's Office Supplies,1,ItemPurchase,-1600.0,82385.47
6,Purchase from Discount Market,1,ItemPurchase,-80.0,82305.47
7,Public parking for UMC Desert,1,PublicParking,-15.0,82290.47
8,37 3rd Street Rent,2,Rent,-9.478683,82280.99
9,42 3rd Street Rent,2,Rent,-38.02306,82242.97
10,Hospital Bill,2,HospitalBill,-2000.0,80242.97
11,Taxi Ride,2,TaxiRide,-103.9025,80139.06
12,Purchase from IKA BOHAG,2,ItemPurchase,-3520.0,76619.06
13,37 3rd Street Rent,3,Rent,-9.478683,76609.59
14,42 3rd Street Rent,3,Rent,-38.02306,76571.56
15,Furniture+inventory and vehicles from 42 3rd Street,3,DepositReturnFurniture,90.0,76661.56
16,Returned deposit for 42 3rd Street,3,DepositReturn,1140.692,77802.26
17,Recruitment Campaign,3,RecruitmentCampaign,-2000.0,75802.26
18,Purchase from IKA BOHAG,3,ItemPurchase,-3520.0,72282.26
19,Public parking for UMC Desert,3,PublicParking,-7.5,72274.76
20,37 3rd Street Rent,4,Rent,-9.478683,72265.28
21,Interior Designer,4,InteriorDesigner,-1530.0,70735.28
22,Marketing campaigns for Katalytica,4,Marketing,-500.0,70235.28
23,Evie Jones (Katalytica Daily Wage),4,Wage,-336.0,69899.28
24,Leon Nelson (Katalytica Daily Wage),4,Wage,-192.0,69707.28
25,Nancy Thompson (Katalytica Daily Wage),4,Wage,-53.0,69654.28
26,Public parking for UMC Desert,4,PublicParking,-7.5,69646.78
27,37 3rd Street Rent,5,Rent,-9.478683,69637.3
28,Katalytica Revenue,4,Revenue,678.0,70315.3
29,Marketing campaigns for Katalytica,5,Marketing,-500.0,69815.3
30,Leon Nelson (Katalytica Daily Wage),5,Wage,-512.0,69303.3
31,Nancy Thompson (Katalytica Daily Wage),5,Wage,-424.0,68879.3
32,Lily Barton (Katalytica Daily Wage),5,Wage,-344.0,68535.3
33,37 3rd Street Rent,6,Rent,-9.478683,68525.83
34,Katalytica Revenue,5,Revenue,684.0,69209.83
35,Marketing campaigns for Katalytica,6,Marketing,-500.0,68709.83
36,41 3rd Street Deposit,6,Deposit,-526.2292,68183.6
37,41 3rd Street Rent,6,Rent,-13.54097,68170.06
38,Purchase from Square Appliances,6,ItemPurchase,-1875.0,66295.06
39,Purchase from Square Appliances,6,ItemPurchase,-470.0,65825.06
40,Purchase from Metro Wholesale,6,ItemPurchase,-197.5588,65627.5
41,Purchase from NY Distro Inc,6,ItemPurchase,-577.2683,65050.23
42,Lily Barton (Katalytica Daily Wage),6,Wage,-344.0,64706.23
43,Public parking for UMC Desert,6,PublicParking,-7.5,64698.73
44,37 3rd Street Rent,7,Rent,-9.478683,64689.25
45,Katalytica Revenue,6,Revenue,684.0,65373.25
46,41 3rd Street Rent,7,Rent,-13.54097,65359.71
47,Marketing campaigns for Katalytica,7,Marketing,-500.0,64859.71
48,Lily Barton (Katalytica Daily Wage),7,Wage,-344.0,64515.71
49,37 3rd Street Rent,8,Rent,-9.478683,64506.23
50,Katalytica Revenue,7,Revenue,684.0,65190.23
51,41 3rd Street Rent,8,Rent,-13.54097,65176.69
52,Bank negative interest rate,8,BankNegativeInterestRate,-7169.436,58007.25
53,Marketing campaigns for Katalytica,8,Marketing,-100.0,57907.25
54,Purchase from AJ Pederson & Son,8,ItemPurchase,-20504.0,37403.25
55,Purchase from AJ Pederson & Son,8,ItemPurchase,-7074.0,30329.25
56,Purchase from AJ Pederson & Son,8,ItemPurchase,-470.0,29859.25
57,Evie Jones (Katalytica Daily Wage),8,Wage,-448.0,29411.25
58,Leon Nelson (Katalytica Daily Wage),8,Wage,-512.0,28899.25
59,Nancy Thompson (Katalytica Daily Wage),8,Wage,-424.0,28475.25
60,37 3rd Street Rent,9,Rent,-9.478683,28465.78
61,Katalytica Revenue,8,Revenue,684.0,29149.78
62,41 3rd Street Rent,9,Rent,-13.54097,29136.23
63,Marketing campaigns for Katalytica,9,Marketing,-100.0,29036.23
64,Evie Jones (Katalytica Daily Wage),9,Wage,-448.0,28588.23
65,Leon Nelson (Katalytica Daily Wage),9,Wage,-512.0,28076.23
66,37 3rd Street Rent,10,Rent,-9.478683,28066.76
67,Katalytica Revenue,9,Revenue,684.0,28750.76
68,41 3rd Street Rent,10,Rent,-13.54097,28737.21
69,Karbucks Revenue,9,Revenue,626.7,29363.91
70,Marketing campaigns for Katalytica,10,Marketing,-100.0,29263.91
71,Interior Designer,10,InteriorDesigner,-3840.0,25423.91
72,Evie Jones (Katalytica Daily Wage),10,Wage,-448.0,24975.91
73,Leon Nelson (Katalytica Daily Wage),10,Wage,-512.0,24463.91
74,37 3rd Street Rent,11,Rent,-9.478683,24454.44
75,Katalytica Revenue,10,Revenue,684.0,25138.44
76,41 3rd Street Rent,11,Rent,-13.54097,25124.89
77,Karbucks Revenue,10,Revenue,595.2,25720.09
78,Marketing campaigns for Katalytica,11,Marketing,-100.0,25620.09
79,Purchase from NY Distro Inc,11,ItemPurchase,-317.8764,25302.22
80,Purchase from Discount Market,11,ItemPurchase,-80.0,25222.22
81,42 3rd Street Deposit,11,Deposit,-1230.692,23991.53
82,Evie Jones (Katalytica Daily Wage),11,Wage,-448.0,23543.53
83,Nancy Thompson (Katalytica Daily Wage),11,Wage,-424.0,23119.53
84,37 3rd Street Rent,12,Rent,-9.478683,23110.05
85,Katalytica Revenue,11,Revenue,684.0,23794.05
86,42 3rd Street Rent,12,Rent,-38.02306,23756.02
87,41 3rd Street Rent,12,Rent,-13.54097,23742.48
88,Karbucks Revenue,11,Revenue,199.3,23941.78
89,Marketing campaigns for Katalytica,12,Marketing,-100.0,23841.78
90,Lily Barton (Katalytica Daily Wage),12,Wage,-344.0,23497.78
91,37 3rd Street Rent,13,Rent,-9.478683,23488.3
92,Katalytica Revenue,12,Revenue,660.0,24148.3
93,42 3rd Street Rent,13,Rent,-38.02306,24110.28
94,41 3rd Street Rent,13,Rent,-13.54097,24096.74
95,Karbucks Revenue,12,Revenue,381.5,24478.24
96,Marketing campaigns for Katalytica,13,Marketing,-100.0,24378.24
97,Lily Barton (Katalytica Daily Wage),13,Wage,-344.0,24034.24
98,37 3rd Street Rent,14,Rent,-9.478683,24024.76
99,Katalytica Revenue,13,Revenue,660.0,24684.76
100,42 3rd Street Rent,14,Rent,-38.02306,24646.74
101,41 3rd Street Rent,14,Rent,-13.54097,24633.2
102,Karbucks Revenue,13,Revenue,380.9,25014.1
103,Marketing campaigns for Katalytica,14,Marketing,-100.0,24914.1
104,Purchase from NY Distro Inc,14,ItemPurchase,-400.1318,24513.97
105,Purchase from NY Distro Inc,14,ItemPurchase,-495.0129,24018.95
106,Purchase from Square Appliances,14,ItemPurchase,-1200.0,22818.95
107,Lily Barton (Katalytica Daily Wage),14,Wage,-344.0,22474.95
108,37 3rd Street Rent,15,Rent,-9.478683,22465.47
109,Katalytica Revenue,14,Revenue,660.0,23125.47
110,42 3rd Street Rent,15,Rent,-38.02306,23087.45
111,41 3rd Street Rent,15,Rent,-13.54097,23073.91
112,Karbucks Revenue,14,Revenue,134.8,23208.71
113,Marketing campaigns for Katalytica,15,Marketing,-100.0,23108.71
114,Recruitment Campaign,15,RecruitmentCampaign,-500.0,22608.71
115,Recruitment Campaign,15,RecruitmentCampaign,-500.0,22108.71
116,Recruitment Campaign,15,RecruitmentCampaign,-100.0,22008.71
117,Evie Jones (Katalytica Daily Wage),15,Wage,-448.0,21560.71
118,37 3rd Street Rent,16,Rent,-9.478683,21551.23
119,Katalytica Revenue,15,Revenue,660.0,22211.23
120,42 3rd Street Rent,16,Rent,-38.02306,22173.21
121,41 3rd Street Rent,16,Rent,-13.54097,22159.67
122,Karbucks Revenue,15,Revenue,269.4,22429.07
123,Marketing campaigns for Katalytica,16,Marketing,-100.0,22329.07
124,Purchase from Square Appliances,16,ItemPurchase,-100.0,22229.07
125,Euro Energy High investment,16,Investment,-10000.0,12229.07
126,Evie Jones (Katalytica Daily Wage),16,Wage,-448.0,11781.07
127,Zoe Gomez (Karbucks Daily Wage),16,Wage,-224.0,11557.07
128,37 3rd Street Rent,17,Rent,-9.478683,11547.59
129,Katalytica Revenue,16,Revenue,660.0,12207.59
130,42 3rd Street Rent,17,Rent,-38.02306,12169.57
131,41 3rd Street Rent,17,Rent,-13.54097,12156.03
132,Karbucks Revenue,16,Revenue,568.0,12724.03
133,Marketing campaigns for Katalytica,17,Marketing,-100.0,12624.03
134,Recruitment Campaign,17,RecruitmentCampaign,-50.0,12574.03
135,Purchase from NY Distro Inc,17,ItemPurchase,-597.2781,11976.75
136,Purchase from NY Distro Inc,17,ItemPurchase,-597.2781,11379.47
137,Evie Jones (Katalytica Daily Wage),17,Wage,-448.0,10931.47
138,Zoe Gomez (Karbucks Daily Wage),17,Wage,-256.0,10675.47
139,Tommy Brooks (Karbucks Daily Wage),17,Wage,-44.0,10631.47
140,Public parking for UMC Desert,17,PublicParking,-5.0,10626.47
141,37 3rd Street Rent,18,Rent,-9.478683,10616.99
142,Katalytica Revenue,17,Revenue,660.0,11276.99
143,42 3rd Street Rent,18,Rent,-38.02306,11238.97
144,41 3rd Street Rent,18,Rent,-13.54097,11225.43
145,Karbucks Revenue,17,Revenue,723.0,11948.43
146,Marketing campaigns for Katalytica,18,Marketing,-100.0,11848.43
147,Purchase from Discount Market,18,ItemPurchase,-80.0,11768.43
148,Evie Jones (Katalytica Daily Wage),18,Wage,-448.0,11320.43
149,Zoe Gomez (Karbucks Daily Wage),18,Wage,-256.0,11064.43
150,Tommy Brooks (Karbucks Daily Wage),18,Wage,-44.0,11020.43
151,37 3rd Street Rent,19,Rent,-9.478683,11010.95
152,Katalytica Revenue,18,Revenue,660.0,11670.95
